Date,Forecast,Lower_95,Upper_95,trend,yearly,holidays
2010-02-05,48342771.613669515,44185102.93325337,52513246.40125318,47220136.91650741,0.023774490513382138,0.0
2010-02-12,48452403.660795674,44428911.485922016,52204619.03232941,47213840.552683085,0.0444668894445346,-0.018233838
2010-02-19,47607554.42531195,43383048.68845737,52025024.06041966,47207544.18885876,0.008473438797258842,0.0
2010-02-26,45999143.51509547,42182068.28951783,50094924.86632755,47201247.82503445,-0.025467638364030744,0.0
2010-03-05,45626929.7522036,41541906.096145324,49747849.29536368,47194951.461210124,-0.033224352615243015,0.0
2010-03-12,45710102.80075067,41453480.81510217,50234848.406389706,47188655.09738581,-0.03133279161238579,0.0
2010-03-19,45488340.5703077,41581654.91300193,49970552.781727165,47182358.711306006,-0.03590363405448767,0.0
2010-03-26,45356615.88869784,41053320.499726035,49549819.29440516,47176062.32522621,-0.03856715348528503,0.0
2010-04-02,45946192.65835162,41598402.1089681,50059203.93420615,47169765.93914641,-0.025939778509253428,0.0
2010-04-09,46849531.81246939,42685460.49400071,50790385.10191025,47163469.553066604,-0.006656375020162121,0.0
2010-04-16,46945448.532847784,42932897.42011642,50985985.19157931,47157173.10633548,-0.004489763901035289,0.0
2010-04-23,45892178.13904107,41549610.99832173,49904810.52258048,47150876.659604356,-0.026695124454422875,0.0
2010-04-30,44721939.22544627,40554763.44141338,48866641.19726145,47144580.21287323,-0.05138747606804307,0.0
2010-05-07,44691027.64275917,40121096.50936692,49014976.628344275,47138283.766142115,-0.05191653000189902,0.0
2010-05-14,45843404.64545977,41609766.626301184,50115708.612576745,47131987.31941099,-0.02733987568184979,0.0
2010-05-21,47071947.53663635,42852272.230501555,51062077.05925624,47125690.852984495,-0.0011404250075781304,0.0
2010-05-28,47493889.15426043,43183105.46021951,51964622.64394435,47119394.386557996,0.007947783976809054,0.0
2010-06-04,47350250.60710466,43143131.062374085,51452174.43314629,47113097.920131505,0.005033689089500797,0.0
2010-06-11,47409252.88672323,43369000.942396946,51601499.797152005,47106801.453705005,0.00642054700562638,0.0
2010-06-18,47830490.134498715,43680220.30672239,51852230.47375354,47100505.06068112,0.015498455332424343,0.0
2010-06-25,48006183.01692638,43578427.88923777,52212804.75765108,47094208.66765725,0.019364893796282097,0.0
2010-07-02,47456645.35340056,43442248.45199733,51467918.36424673,47087912.27463336,0.007830737464354358,0.0
2010-07-09,46479746.47160587,42711252.489634864,50639063.4000996,47081615.881609485,-0.012783533418161831,0.0
2010-07-16,45737937.80688117,41708888.991964705,49995671.76876475,47075319.48858561,-0.028409402129043897,0.0
2010-07-23,45482569.17840715,41256366.76528954,49485427.913970985,47069023.096381165,-0.03370484054290884,0.0
2010-07-30,45504221.3292704,41609019.46785269,49590579.67387956,47062726.704176724,-0.03311549253621997,0.0
2010-08-06,45708545.338448755,41710575.189038135,50268362.56450256,47056430.31197228,-0.02864401240356299,0.0
2010-08-13,46265999.76640992,42031586.288925,50420197.39431553,47050133.91976784,-0.01666592819257568,0.0
2010-08-20,47008025.45409087,42462495.244121976,51380032.42539601,47043837.587190695,-0.0007612502494817371,0.0
2010-08-27,47085136.178596504,43041814.40438752,51131162.60417427,47037541.25461354,0.001011849742003433,0.0
2010-09-03,45766838.89943212,41831333.80326335,49947588.398766406,47031244.9220364,-0.02688438344977436,0.0
2010-09-10,46062063.0042067,41523454.608943336,50013208.2346768,47024948.58945925,-0.07298025922302546,0.052504201
2010-09-17,42206034.44980228,37943648.80885397,46549086.9384102,47018652.256882094,-0.10235550310516167,0.0
2010-09-24,42654729.46062995,38699077.20689786,46683411.02389457,47012355.98979805,-0.0926910901915601,0.0
2010-10-01,44112719.11115486,39800916.30135602,48189410.30602928,47006059.72271399,-0.061552502563005235,0.0
2010-10-08,44799261.92157965,40950294.54517739,48982221.47454017,46999763.45562994,-0.0468194172110604,0.0
2010-10-15,44203994.819801845,40386275.00719973,48520831.96120647,46993467.18854589,-0.059358726555591226,0.0
